GOLD: ../../fullseqs
"afternoon_in_paris-1.mid",2,0,,1
"afternoon_in_paris-2.mid",2,0,,1
"afternoon_in_paris-3.mid",2,0,,1
"afternoon_in_paris-25.mid",2,480,,1
"agua_de_beber-0.mid",2,0,,2
"agua_de_beber-21.mid",2,0,,2
"aint_that_a_kick_in_the_head-0.mid",2,0,,3
"airegin-0.mid",2,0,,4
"airegin-1.mid",2,0,,4
"alfie-1.mid",2,0,,5
"alfie-2.mid",2,0,,5
"alfie-3.mid",2,0,,5
"alice_in_wonderland-0.mid",1,0,,6
"alice_in_wonderland-1.mid",2,0,,6
"all_blues-0.mid",2,0,,7
"all_blues-10.mid",1.5,0,,7
"all_blues-3.mid",1.5,0,,7
"all_the_things_you_are-10.mid",2,0,,9
"all_the_things_you_are-6.mid",2,0,,9
"all_the_way-2.mid",2,0,,10
"bernies_tune-1.mid",2,0,,19
"bark_for_barksdale-29.mid",2,0,,17
"angel_eyes-10.mid",2,0,,13
"angel_eyes-14.mid",2,0,,13
"bernies_tune-30.mid",2,0,,19
"bernies_tune-31.mid",2,0,,19
"anthropology-2.mid",2,0,,14
"au_privave-18.mid",2,0,,16
"amor-2.mid",2,0,,12
"au_privave-2.mid",2,0,,16
"beyond_the_blue_horizon-33.mid",2,0,,23
"bessies_blues-0.mid",2,0,,21
"between_the_devil_and_the_deep_blue_sea-1.mid",3,0,,22
"beyond_the_blue_horizon-0.mid",2,0,,23
"black_orpheus-23.mid",2,0,,25
"black_orpheus-31.mid",2,0,,25
"black_orpheus-33.mid",2,0,,25
"blue_bossa-0.mid",4,0,,27
"blue_bossa-1.mid",4,115,,27
"blue_bossa-2.mid",4,0,,27
"blue_champagne-0.mid",2,0,,28
